LoanID,StudentID,ItemID,ItemName,ItemCategory,CheckoutDate,ReturnDate,Status
1,23,20,BenQ Portable Projector #2,Projector,2025-12-08,,checked_out
2,29,31,AmazonBasics Tripod #1,Tripod,2025-02-21,2025-02-23,returned
3,31,30,Manfrotto Compact #2,Tripod,2025-03-11,2025-03-30,returned
4,6,28,Shure SM58 #2,Microphone,2025-09-11,2025-09-17,returned
5,22,21,TI-84 Plus #1,Calculator,2025-11-02,,checked_out
6,30,9,Nikon D3500 #1,Camera,2025-12-05,,checked_out
7,28,27,Shure SM58 #1,Microphone,2025-10-23,2025-10-25,returned
8,16,18,Epson PowerLite #2,Projector,2025-09-14,2025-09-18,returned
9,34,13,iPad 10th Gen #1,Tablet,2025-10-10,2025-10-21,returned
10,23,28,Shure SM58 #2,Microphone,2025-04-20,2025-05-08,returned
11,5,16,Samsung Galaxy Tab #2,Tablet,2025-10-11,2025-10-26,returned
12,25,22,TI-84 Plus #2,Calculator,2025-01-18,2025-02-03,returned
13,30,25,Blue Yeti #1,Microphone,2025-09-28,2025-10-19,returned
14,14,14,iPad 10th Gen #2,Tablet,2025-02-17,2025-02-20,returned
15,16,3,MacBook Air 13 #1,Laptop,2025-11-12,,checked_out
16,21,16,Samsung Galaxy Tab #2,Tablet,2025-09-27,2025-10-18,returned
17,11,4,MacBook Air 13 #2,Laptop,2025-10-29,,checked_out
18,6,18,Epson PowerLite #2,Projector,2025-05-07,2025-05-22,returned
19,33,32,AmazonBasics Tripod #2,Tripod,2025-09-26,2025-09-28,returned
20,21,22,TI-84 Plus #2,Calculator,2025-11-30,2025-12-08,returned
21,34,13,iPad 10th Gen #1,Tablet,2025-01-25,2025-02-02,returned
22,34,17,Epson PowerLite #1,Projector,2025-11-03,2025-11-04,returned
23,24,29,Manfrotto Compact #1,Tripod,2025-10-30,2025-11-07,returned
24,35,20,BenQ Portable Projector #2,Projector,2025-11-11,2025-12-02,returned
25,4,4,MacBook Air 13 #2,Laptop,2025-11-28,2025-11-30,returned
26,30,10,Nikon D3500 #2,Camera,2025-09-27,,checked_out
27,20,19,BenQ Portable Projector #1,Projector,2025-09-20,2025-10-09,returned
28,16,20,BenQ Portable Projector #2,Projector,2025-09-22,2025-09-27,returned
29,36,15,Samsung Galaxy Tab #1,Tablet,2025-11-08,2025-11-11,returned
30,6,19,BenQ Portable Projector #1,Projector,2025-02-12,2025-02-25,returned
31,37,19,BenQ Portable Projector #1,Projector,2025-03-16,2025-04-01,returned
32,23,17,Epson PowerLite #1,Projector,2025-02-27,2025-03-08,returned
33,12,20,BenQ Portable Projector #2,Projector,2025-10-15,2025-10-16,returned
34,15,15,Samsung Galaxy Tab #1,Tablet,2025-08-28,2025-09-10,returned
35,5,9,Nikon D3500 #1,Camera,2025-09-10,2025-09-28,returned
36,24,31,AmazonBasics Tripod #1,Tripod,2025-03-26,2025-04-12,returned
37,30,34,Portable Whiteboard Kit #2,Whiteboard Kit,2025-11-04,2025-11-19,returned
